PL	Customer Code	Order Number	Order Entry Date	Customer Wish Date	Confirmed Delivery Date	Requested Order Lead Time (in d)	Confirmed Order Lead Time (in d)	Agreed Liability (in w)	Order quantity	Product Information (Basic_Type)	Sales product
67	C8	1115001738	7.2018	7.2019	7.2019	351	351	26	3000	BT89	SP307
67	C51	1115109566	8.2018	8.2019	8.2019	351	351	16	3000	BT156	SP2
67	C18	1115177963	9.2018	9.2019	9.2019	351	351	16	15000	BT66	SP147
67	C117	1115480225	1.2019	1.2020	1.2020	351	351	15	2500	BT91	SP524
67	C20	1113346514	8.2017	9.2018	9.2018	351	351	99	1000	BT102	SP509
67	C20	1113346517	8.2017	9.2018	9.2018	351	351	20	1000	BT102	SP509
67	C158	1113775041	11.2017	11.2018	11.2018	351	351	26	50000	BT84	SP74
67	C51	1114059160	1.2018	1.2019	1.2019	351	351	26	17500	BT38	SP488
67	C120	1114357585	3.2018	3.2019	3.2019	351	351	15	32500	BT15	SP575
67	C120	1114357585	3.2018	3.2019	3.2019	351	351	15	517500	BT15	SP575
67	C120	1114357607	3.2018	3.2019	3.2019	351	351	(blank)	12500	BT15	SP575
67	C120	1114357607	3.2018	3.2019	3.2019	351	351	(blank)	47500	BT15	SP575
67	C53	1114634912	4.2018	5.2019	5.2019	351	352	13	52500	BT45	SP155
67	C101	1114840868	6.2018	6.2019	6.2019	351	351	99	1000	BT85	SP88
67	C51	1115096047	8.2018	8.2019	8.2019	351	351	8	2000	BT156	SP2
67	C51	1115096047	8.2018	8.2019	8.2019	351	351	26	2000	BT156	SP2
67	C47	1115189678	9.2018	9.2019	9.2019	351	351	18	3000	BT30	SP381
67	C18	1115286418	10.2018	10.2019	10.2019	351	351	15	2500	BT89	SP308
67	C161	1115323135	10.2018	11.2019	11.2019	351	351	15	1000	BT41	SP212
67	C27	1115334039	10.2018	11.2019	11.2019	351	351	52	10500	BT228	SP374
67	C27	1115334039	10.2018	11.2019	11.2019	351	351	52	10500	BT228	SP374
67	C153	1115519397	1.2019	2.2020	2.2020	351	351	20	1000	BT156	SP2
67	C13	1115525674	2.2019	2.2020	2.2020	351	351	15	2500	BT57	SP259
67	C27	1113043109	6.2017	7.2018	8.2018	351	381	15	2500	BT45	SP168
67	C27	1113043109	6.2017	7.2018	8.2018	350	380	15	7500	BT45	SP168
67	C158	1113302254	8.2017	8.2018	8.2018	350	350	18	15000	BT83	SP504
67	C158	1113302254	8.2017	8.2018	8.2018	350	350	18	35000	BT83	SP504
67	C158	1113302263	8.2017	8.2018	8.2018	350	350	18	25000	BT92	SP98
67	C158	1113302263	8.2017	8.2018	8.2018	350	354	18	5000	BT92	SP98
67	C157	1113404404	9.2017	9.2018	9.2018	350	350	16	5000	BT92	SP98
67	C139	1113813955	11.2017	11.2018	11.2018	350	350	20	15000	BT84	SP293
67	C15	1113833330	11.2017	12.2018	12.2018	350	350	12	2500	BT82	SP406
67	C35	1113875068	12.2017	12.2018	1.2019	350	376	10	4000	BT186	SP333
67	C166	1113948000	12.2017	12.2018	12.2018	350	350	(blank)	1000	BT6	SP14
67	C166	1113948000	12.2017	12.2018	12.2018	350	350	(blank)	1000	BT6	SP14
67	C166	1113948000	12.2017	12.2018	12.2018	350	350	(blank)	3000	BT6	SP14
67	C166	1113948000	12.2017	12.2018	12.2018	350	350	(blank)	30000	BT6	SP14
67	C166	1113948000	12.2017	12.2018	12.2018	350	350	(blank)	30000	BT6	SP14
67	C166	1113948000	12.2017	12.2018	12.2018	350	350	(blank)	1000	BT6	SP14
67	C166	1113948000	12.2017	12.2018	12.2018	350	350	(blank)	2000	BT6	SP14
67	C166	1113948000	12.2017	12.2018	12.2018	350	350	(blank)	1000	BT6	SP14
